评价ID,品牌,分类,用户评分,评价内容长度,是否有图,购买渠道,评价日期,是否追评,有用数
RV-100167,戴尔,投影仪,4,14,是,天猫,2025-11-21,否,2
RV-100168,惠普,耳机,5,74,否,苏宁,2025-09-19,否,0
RV-100169,华硕,智能穿戴,3,68,是,抖音,2026-03-28,否,1
RV-100170,苹果,智能穿戴,5,122,是,京东,2026-02-13,否,4
RV-100171,飞利浦,平板电脑,5,18,否,京东,2025-11-27,否,0
RV-100172,美的,耳机,3,66,否,天猫,2025-12-29,否,0
RV-100173,戴尔,笔记本电脑,5,75,是,天猫,2026-04-25,否,2
RV-100174,华为,智能穿戴,2,143,是,京东,2026-05-29,否,4
RV-100175,索尼,耳机,3,53,是,拼多多,2026-05-13,否,3
RV-100176,三星,智能穿戴,5,37,是,抖音,2025-09-06,否,3
RV-100177,华为,耳机,3,97,是,苏宁,2025-09-19,是,3
RV-100178,苹果,笔记本电脑,4,10,是,苏宁,2025-12-21,否,0
RV-100179,华为,电视,1,145,是,官网,2025-08-06,是,3
RV-100180,小米,投影仪,5,10,是,苏宁,2025-07-17,否,3
RV-100181,海尔,平板电脑,3,36,是,拼多多,2026-06-20,否,3
RV-100182,三星,智能手机,3,91,否,苏宁,2025-10-03,否,0
RV-100183,索尼,智能手机,3,156,是,京东,2026-02-19,否,2
RV-100184,飞利浦,投影仪,4,123,是,苏宁,2025-07-19,否,4
RV-100185,联想,智能穿戴,3,97,否,抖音,2026-04-07,是,4
RV-100186,索尼,投影仪,5,10,是,苏宁,2025-07-20,否,1
RV-100187,联想,智能家居,5,76,否,拼多多,2025-11-28,否,0
RV-100188,海尔,智能手机,5,73,是,抖音,2026-04-26,否,0
RV-100189,海尔,智能家居,5,10,是,苏宁,2026-01-04,否,2
RV-100190,OPPO,智能手机,4,21,是,拼多多,2025-10-10,否,1
RV-100191,戴尔,投影仪,4,141,是,苏宁,2025-10-16,是,9
RV-100192,美的,笔记本电脑,5,90,是,京东,2026-03-28,否,3
RV-100193,苹果,笔记本电脑,4,79,否,官网,2026-05-25,否,0
RV-100194,松下,投影仪,4,69,否,官网,2026-04-19,否,0
RV-100195,格力,平板电脑,3,150,是,京东,2025-10-29,是,3
RV-100196,联想,投影仪,4,93,否,抖音,2025-11-05,是,3
RV-100197,戴尔,电视,3,97,是,苏宁,2025-11-20,否,0
RV-100198,海尔,投影仪,5,10,否,苏宁,2026-05-03,否,0
RV-100199,惠普,智能手机,3,65,是,官网,2026-01-24,否,1
RV-100200,三星,投影仪,2,169,否,天猫,2026-02-18,否,4
RV-100201,海尔,智能穿戴,4,95,是,官网,2026-04-12,否,1
RV-100202,OPPO,投影仪,3,125,是,天猫,2025-08-09,否,7
RV-100203,飞利浦,电视,4,82,是,拼多多,2025-08-14,否,2
RV-100204,华硕,耳机,3,125,否,苏宁,2025-12-08,否,3
RV-100205,华硕,耳机,5,57,是,苏宁,2026-01-13,否,2
RV-100206,苹果,投影仪,4,119,是,拼多多,2026-06-13,否,1
RV-100207,戴尔,电视,5,88,否,抖音,2026-01-22,否,0
RV-100208,格力,投影仪,5,10,是,京东,2026-06-27,否,3
RV-100209,戴尔,智能家居,1,191,是,抖音,2025-10-28,否,2
RV-100210,美的,智能家居,5,76,是,拼多多,2025-12-14,否,2
RV-100211,华为,电视,5,79,是,苏宁,2026-06-01,否,2
RV-100212,惠普,智能家居,3,99,是,拼多多,2025-12-19,否,0
RV-100213,飞利浦,投影仪,4,57,是,京东,2026-06-18,是,7
RV-100214,华为,平板电脑,3,172,否,抖音,2026-01-22,否,1
RV-100215,联想,平板电脑,5,135,是,抖音,2025-10-22,否,6
RV-100216,惠普,智能家居,3,59,是,拼多多,2025-09-13,否,3
RV-100217,飞利浦,智能手机,4,135,是,抖音,2026-06-12,否,5
RV-100218,华硕,平板电脑,4,12,否,京东,2026-03-06,否,0
RV-100219,OPPO,笔记本电脑,5,113,是,抖音,2025-12-10,否,4
RV-100220,飞利浦,智能家居,2,162,否,苏宁,2025-10-12,是,5
RV-100221,联想,平板电脑,4,105,是,苏宁,2025-08-30,否,7
RV-100222,三星,耳机,5,135,是,官网,2025-07-20,否,6
RV-100223,华硕,投影仪,4,70,是,京东,2026-02-11,否,2
RV-100224,OPPO,电视,2,144,是,京东,2025-07-08,否,2
RV-100225,联想,智能家居,4,52,否,拼多多,2025-10-06,否,0
RV-100226,美的,智能穿戴,5,53,是,天猫,2025-08-16,否,1
RV-100227,华为,笔记本电脑,4,154,否,天猫,2025-09-30,是,1
RV-100228,戴尔,智能家居,4,48,是,抖音,2025-08-09,否,0
RV-100229,三星,智能手机,2,204,是,苏宁,2025-12-17,否,1
RV-100230,苹果,智能穿戴,2,251,是,抖音,2025-08-14,否,5
RV-100231,惠普,智能家居,2,229,是,拼多多,2026-05-12,否,3
RV-100232,苹果,智能家居,4,58,否,抖音,2026-04-10,是,1
RV-100233,松下,电视,3,145,是,苏宁,2026-04-28,是,6
RV-100234,联想,耳机,5,45,是,官网,2026-02-25,否,0
RV-100235,联想,耳机,5,94,是,抖音,2025-07-22,否,3
RV-100236,美的,智能穿戴,4,56,是,天猫,2025-11-06,否,1
RV-100237,华硕,投影仪,4,106,是,官网,2026-03-04,否,5
RV-100238,飞利浦,笔记本电脑,4,101,是,抖音,2025-09-18,否,5
RV-100239,苹果,平板电脑,5,37,是,苏宁,2025-09-13,否,1
RV-100240,小米,智能家居,3,93,是,拼多多,2025-07-29,否,3
RV-100241,格力,智能手机,5,54,否,京东,2025-09-15,否,0
RV-100242,华为,电视,5,67,是,拼多多,2026-06-22,否,3
RV-100243,戴尔,平板电脑,3,102,否,拼多多,2025-12-05,否,5
RV-100244,美的,电视,4,192,否,官网,2026-05-01,否,4
RV-100245,松下,投影仪,5,112,否,京东,2026-03-16,否,1
RV-100246,飞利浦,智能手机,1,126,否,苏宁,2026-03-04,否,1
RV-100247,联想,平板电脑,5,72,否,京东,2026-05-12,否,0
RV-100248,飞利浦,电视,4,81,否,京东,2025-09-07,否,0
RV-100249,华硕,智能手机,5,68,是,天猫,2026-06-10,否,1
RV-100250,惠普,智能穿戴,5,10,否,天猫,2026-01-25,否,0
RV-100251,索尼,平板电脑,1,129,否,抖音,2026-06-07,否,2
RV-100252,OPPO,平板电脑,4,197,是,拼多多,2025-10-13,否,8
RV-100253,格力,电视,4,59,是,天猫,2026-03-07,否,3
RV-100254,索尼,平板电脑,3,172,否,天猫,2025-12-22,否,1
RV-100255,索尼,耳机,5,37,是,抖音,2026-05-22,否,2
RV-100256,格力,耳机,5,68,是,天猫,2025-11-05,否,1
RV-100257,松下,投影仪,5,54,否,官网,2026-04-02,否,0
RV-100258,小米,智能家居,2,110,否,苏宁,2026-02-14,否,2
RV-100259,华硕,投影仪,5,72,是,官网,2026-05-19,否,3
RV-100260,华硕,投影仪,2,107,是,抖音,2026-02-25,否,1
RV-100261,美的,电视,5,36,是,抖音,2025-10-26,否,1
RV-100262,海尔,投影仪,5,13,否,官网,2026-04-13,否,0
RV-100263,飞利浦,投影仪,5,10,是,京东,2025-10-13,否,0
RV-100264,松下,笔记本电脑,2,58,否,京东,2026-03-12,否,0
RV-100265,格力,平板电脑,5,100,是,苏宁,2025-08-05,否,3
RV-100266,华为,智能手机,4,69,是,官网,2025-10-24,是,2
RV-100267,海尔,电视,3,49,否,天猫,2025-10-13,是,0
RV-100268,三星,耳机,4,85,是,抖音,2025-11-15,否,3
RV-100269,三星,耳机,5,30,否,苏宁,2026-05-22,是,0
RV-100270,戴尔,电视,4,107,是,抖音,2026-05-21,是,9
RV-100271,美的,智能手机,5,101,否,拼多多,2025-11-07,否,4
RV-100272,华为,笔记本电脑,4,62,是,天猫,2026-06-30,否,2
RV-100273,OPPO,平板电脑,3,83,否,拼多多,2026-05-30,否,0
RV-100274,苹果,耳机,4,32,否,官网,2026-04-28,否,0
RV-100275,格力,笔记本电脑,4,67,否,京东,2026-03-12,是,3
RV-100276,联想,电视,1,181,是,苏宁,2025-09-28,否,3
RV-100277,戴尔,平板电脑,4,26,是,京东,2025-07-08,是,3
RV-100278,小米,智能穿戴,5,47,是,京东,2026-05-23,否,0
RV-100279,索尼,智能家居,5,10,是,苏宁,2025-11-30,否,1
RV-100280,惠普,电视,5,10,是,拼多多,2026-07-02,否,3
RV-100281,戴尔,电视,3,59,否,抖音,2026-03-06,否,0
RV-100282,惠普,平板电脑,4,76,是,拼多多,2025-11-28,否,1
RV-100283,戴尔,智能穿戴,4,107,是,抖音,2025-09-07,否,4
RV-100284,三星,智能家居,5,15,是,拼多多,2025-11-25,否,2
RV-100285,戴尔,平板电脑,5,110,是,苏宁,2026-04-09,否,5
RV-100286,联想,智能穿戴,3,118,否,拼多多,2025-12-19,否,2
RV-100287,小米,耳机,4,36,是,官网,2025-11-14,否,0
RV-100288,三星,智能家居,3,161,否,官网,2026-04-28,是,8
RV-100289,索尼,耳机,5,10,是,苏宁,2026-06-01,否,3
RV-100290,OPPO,智能家居,4,115,是,抖音,2025-07-14,否,2
RV-100291,OPPO,笔记本电脑,5,11,是,抖音,2025-08-11,否,1
RV-100292,华为,电视,1,187,是,拼多多,2025-11-22,否,2
RV-100293,戴尔,智能家居,3,124,是,京东,2025-11-03,否,2
RV-100294,索尼,电视,2,134,是,抖音,2026-03-25,否,5
RV-100295,华硕,投影仪,4,34,是,拼多多,2026-06-04,否,2
RV-100296,华为,笔记本电脑,5,85,是,天猫,2025-10-17,否,1
RV-100297,惠普,平板电脑,5,10,是,天猫,2025-08-20,否,3
RV-100298,苹果,电视,5,10,是,天猫,2025-07-13,否,0
RV-100299,三星,智能穿戴,3,126,否,拼多多,2026-04-04,是,4
RV-100300,联想,耳机,4,10,是,苏宁,2025-08-30,否,3
RV-100301,OPPO,笔记本电脑,5,37,否,官网,2025-07-29,否,0
RV-100302,飞利浦,智能穿戴,2,125,否,拼多多,2026-04-06,否,0
RV-100303,格力,平板电脑,4,114,是,官网,2025-11-01,是,7
RV-100304,惠普,平板电脑,4,58,是,苏宁,2026-07-04,是,2
RV-100305,苹果,耳机,3,160,否,官网,2025-12-11,否,3
RV-100306,华硕,电视,3,28,是,拼多多,2026-06-22,是,3
RV-100307,三星,智能穿戴,5,14,是,抖音,2025-09-30,否,3
RV-100308,小米,笔记本电脑,5,10,是,天猫,2025-10-02,否,3
RV-100309,戴尔,笔记本电脑,3,88,否,苏宁,2026-06-22,否,0
RV-100310,索尼,投影仪,2,207,是,抖音,2025-07-10,否,3
RV-100311,海尔,电视,5,111,是,拼多多,2025-09-20,否,1
RV-100312,惠普,智能穿戴,4,62,是,苏宁,2026-04-30,否,0
RV-100313,美的,智能手机,1,232,否,官网,2026-04-25,是,2
RV-100314,联想,耳机,3,75,否,苏宁,2025-12-08,否,0
RV-100315,华硕,笔记本电脑,4,61,否,官网,2026-02-16,是,4
RV-100316,美的,投影仪,4,145,是,官网,2025-08-17,否,3
RV-100317,格力,投影仪,2,68,否,天猫,2025-12-01,否,0
RV-100318,华硕,智能穿戴,5,116,是,京东,2026-06-15,否,2
RV-100319,海尔,智能家居,5,121,否,苏宁,2026-07-08,否,3
RV-100320,三星,平板电脑,2,155,是,拼多多,2026-05-27,否,4
RV-100321,海尔,平板电脑,5,34,是,官网,2025-12-01,否,1
RV-100322,小米,笔记本电脑,5,61,是,官网,2026-07-04,否,0
RV-100323,联想,笔记本电脑,1,244,否,京东,2025-12-24,是,1
RV-100324,格力,笔记本电脑,5,10,是,官网,2025-08-14,否,1
RV-100325,苹果,笔记本电脑,4,141,是,官网,2026-03-21,否,5
RV-100326,格力,平板电脑,2,161,否,抖音,2026-05-06,否,1
RV-100327,格力,电视,5,154,是,京东,2025-08-12,否,3
RV-100328,三星,智能穿戴,3,86,否,抖音,2025-10-16,否,0
RV-100329,惠普,耳机,3,74,是,京东,2025-12-23,是,4
RV-100330,三星,智能家居,4,127,是,抖音,2025-12-22,否,3
RV-100331,戴尔,投影仪,4,83,是,抖音,2026-06-30,否,0
RV-100332,小米,智能手机,5,64,是,苏宁,2025-07-14,是,6
RV-100333,小米,平板电脑,5,10,是,抖音,2026-04-20,否,1
RV-100334,联想,电视,4,53,否,官网,2025-11-27,否,0
RV-100335,松下,耳机,5,16,是,抖音,2025-08-29,否,3
RV-100336,华为,智能穿戴,4,107,是,拼多多,2025-10-27,否,1
RV-100337,惠普,智能穿戴,5,52,是,京东,2026-05-09,否,2
RV-100338,联想,电视,5,32,是,拼多多,2025-10-20,否,3
RV-100339,华为,智能家居,2,130,是,京东,2025-10-21,是,1
RV-100340,华为,智能手机,5,117,是,拼多多,2026-03-16,否,3
RV-100341,三星,电视,2,233,是,抖音,2026-05-08,否,6
RV-100342,海尔,智能手机,5,68,否,拼多多,2025-11-12,否,0
RV-100343,飞利浦,智能穿戴,5,44,是,拼多多,2025-09-23,是,3
RV-100344,格力,耳机,4,84,是,京东,2026-04-22,否,1
RV-100345,美的,电视,5,17,是,京东,2026-01-18,否,0
RV-100346,飞利浦,电视,3,73,否,天猫,2026-06-08,是,3
RV-100347,格力,智能穿戴,5,43,否,苏宁,2025-10-15,否,0
RV-100348,格力,投影仪,4,10,否,京东,2025-12-19,否,0
RV-100349,OPPO,智能手机,4,77,否,拼多多,2026-02-25,否,0
RV-100350,美的,电视,3,107,否,抖音,2026-04-30,否,1
RV-100351,小米,平板电脑,5,69,是,拼多多,2025-10-07,否,0
RV-100352,飞利浦,耳机,4,156,是,拼多多,2026-03-20,否,2
RV-100353,苹果,笔记本电脑,3,158,否,拼多多,2025-07-27,否,0
RV-100354,索尼,平板电脑,5,49,是,天猫,2026-05-17,否,3
RV-100355,小米,智能手机,5,12,是,拼多多,2025-12-15,否,1
RV-100356,海尔,笔记本电脑,4,98,是,京东,2026-05-04,否,3
RV-100357,美的,投影仪,5,52,否,官网,2025-11-29,是,4
RV-100358,戴尔,智能家居,5,57,是,天猫,2025-11-22,否,2
RV-100359,华为,耳机,4,111,是,拼多多,2026-05-25,否,3
RV-100360,戴尔,平板电脑,4,80,是,官网,2025-12-25,否,0
RV-100361,联想,智能家居,4,240,是,拼多多,2025-12-22,否,6
RV-100362,苹果,智能手机,5,53,是,拼多多,2025-10-10,否,3
RV-100363,飞利浦,耳机,1,152,是,抖音,2026-03-18,否,2
RV-100364,松下,电视,5,80,否,拼多多,2025-07-16,否,0
RV-100365,美的,智能手机,3,169,是,抖音,2025-10-29,否,2
RV-100366,索尼,平板电脑,4,91,是,抖音,2026-01-20,否,0
RV-100367,三星,平板电脑,5,109,是,天猫,2026-06-27,否,2
RV-100368,OPPO,平板电脑,3,156,否,抖音,2025-12-18,否,5
RV-100369,小米,投影仪,5,38,是,苏宁,2025-08-15,否,3
RV-100370,海尔,投影仪,5,129,否,抖音,2025-08-02,否,1
RV-100371,松下,平板电脑,5,11,是,官网,2026-07-08,否,1
RV-100372,OPPO,电视,2,158,否,官网,2026-03-17,否,4
RV-100373,OPPO,笔记本电脑,2,179,是,天猫,2026-01-26,否,3
RV-100374,海尔,笔记本电脑,3,106,否,官网,2026-03-03,否,1
RV-100375,小米,投影仪,5,56,是,天猫,2025-12-06,是,6
RV-100376,美的,电视,4,125,是,苏宁,2026-04-16,否,5
RV-100377,小米,智能手机,5,83,是,天猫,2026-01-14,否,0
RV-100378,美的,电视,5,94,是,京东,2025-07-13,否,3
RV-100379,戴尔,平板电脑,4,73,是,苏宁,2026-04-02,是,3
RV-100380,格力,智能穿戴,4,30,是,拼多多,2026-06-11,是,4
RV-100381,华为,电视,5,89,否,天猫,2025-11-05,否,0
RV-100382,小米,智能手机,5,25,是,苏宁,2025-11-09,否,3
RV-100383,美的,智能穿戴,5,54,是,天猫,2025-12-31,否,3
